               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10302,            0.024676,            0.072252,                   0,                   0,                   0,                   0,            0.067627,           0.0091699,            0.070793,                 0.1,                   0,                   0
                   1,             0.10337,            0.022579,            0.071682,                   0,                   0,                   0,                   0,             0.06763,           0.0091699,            0.070793,              0.0991,              0.0001,              0.0001
                   2,             0.10148,            0.023033,            0.072089,                   0,                   0,                   0,                   0,            0.071755,           0.0086938,            0.070724,              0.0982,              0.0002,              0.0002
                   3,            0.092853,            0.028506,             0.07223,                   0,                   0,                   0,                   0,            0.087908,           0.0068665,            0.070724,              0.0973,              0.0003,              0.0003
                   4,            0.086645,            0.030724,            0.072172,                   0,                   0,                   0,                   0,            0.097049,           0.0058228,            0.070724,              0.0964,              0.0004,              0.0004
                   5,            0.088407,            0.032771,            0.072284,                   0,                   0,                   0,                   0,             0.10057,           0.0053943,            0.070724,              0.0955,              0.0005,              0.0005
                   6,            0.087261,            0.029993,            0.072293,                   0,                   0,                   0,                   0,            0.095397,           0.0059033,            0.070587,              0.0946,              0.0006,              0.0006
                   7,            0.086365,            0.031074,            0.072163,                   0,                   0,                   0,                   0,            0.095411,           0.0059033,            0.070587,              0.0937,              0.0007,              0.0007
                   8,             0.08517,            0.032925,            0.072031,                   0,                   0,                   0,                   0,            0.092729,            0.006123,            0.070587,              0.0928,          0.00079999,          0.00079999
                   9,            0.085855,            0.029164,            0.072426,                   0,                   0,                   0,                   0,            0.089556,           0.0065405,            0.070518,              0.0919,          0.00089999,          0.00089999
                  10,            0.084617,            0.030714,            0.072196,                   0,                   0,                   0,                   0,            0.088092,           0.0067712,            0.070518,               0.091,          0.00099999,          0.00099999
                  11,            0.084734,            0.029306,            0.072499,                   0,                   0,                   0,                   0,            0.087747,           0.0067163,             0.07045,              0.0901,              0.0011,              0.0011
                  12,            0.082027,            0.028466,            0.072305,                   0,                   0,                   0,                   0,            0.082389,           0.0073132,             0.07045,              0.0892,              0.0012,              0.0012
                  13,            0.083539,            0.031028,            0.071326,                   0,                   0,                   0,                   0,            0.090171,           0.0064307,            0.070381,              0.0883,              0.0013,              0.0013
                  14,            0.082306,            0.030645,            0.071799,                   0,                   0,                   0,                   0,             0.09077,           0.0062622,            0.070381,              0.0874,              0.0014,              0.0014
                  15,            0.081622,            0.029394,            0.071196,                   0,                   0,                   0,                   0,            0.089756,           0.0062292,            0.070278,              0.0865,              0.0015,              0.0015
                  16,             0.08116,            0.029602,            0.070874,                   0,                   0,                   0,                   0,            0.096949,           0.0054309,             0.07021,              0.0856,              0.0016,              0.0016
                  17,            0.081087,            0.029741,            0.070803,                   0,                   0,                   0,                   0,            0.088006,           0.0061194,            0.070141,              0.0847,              0.0017,              0.0017
                  18,            0.080846,            0.029027,            0.070637,                   0,                   0,                   0,                   0,            0.092791,           0.0055481,            0.070107,              0.0838,           0.0017999,           0.0017999
                  19,            0.079918,            0.029701,            0.070457,                   0,                   0,                   0,                   0,            0.095906,           0.0054419,            0.070038,              0.0829,           0.0018999,           0.0018999
                  20,            0.079559,            0.028332,            0.070447,                   0,                   0,                   0,                   0,            0.091737,           0.0058118,            0.069969,               0.082,           0.0019999,           0.0019999
                  21,            0.079366,            0.026847,            0.070024,                   0,                   0,                   0,                   0,            0.090856,           0.0057312,            0.069866,              0.0811,           0.0020999,           0.0020999
                  22,            0.079071,            0.027696,             0.07027,                   0,                   0,                   0,                   0,            0.092924,           0.0057312,            0.069832,              0.0802,           0.0021999,           0.0021999
                  23,            0.078967,            0.025028,            0.070061,                   0,                   0,                   0,                   0,            0.094074,           0.0055005,            0.069763,              0.0793,           0.0022999,           0.0022999
                  24,            0.077809,            0.025474,             0.06963,                   0,                   0,                   0,                   0,            0.090817,           0.0057532,            0.069763,              0.0784,           0.0023999,           0.0023999
                  25,            0.076063,            0.024863,            0.069761,                   0,                   0,                   0,                   0,            0.092803,           0.0057898,             0.06966,              0.0775,           0.0024998,           0.0024998
                  26,             0.07549,            0.025507,            0.069929,          1.4519e-05,            0.020098,          1.1118e-05,          1.2326e-06,            0.091841,            0.006156,            0.069592,              0.0766,           0.0025998,           0.0025998
                  27,            0.076511,            0.024934,             0.06989,           8.008e-06,           0.0078431,          4.9476e-06,          7.2523e-07,            0.093393,           0.0060242,            0.069523,              0.0757,           0.0026998,           0.0026998
                  28,            0.076281,            0.024527,            0.069589,          6.3238e-06,           0.0080882,          3.8365e-06,          3.8365e-07,             0.09559,           0.0061377,            0.069489,              0.0748,           0.0027998,           0.0027998
                  29,            0.075146,            0.023375,            0.069472,          5.3068e-05,            0.047059,          7.5789e-05,          1.4852e-05,             0.08614,           0.0070056,            0.069454,              0.0739,           0.0028998,           0.0028998
                  30,            0.078082,            0.022156,            0.069383,          3.2922e-06,           0.0039216,          1.7907e-06,          1.7907e-07,            0.099432,           0.0063721,            0.069386,               0.073,           0.0029997,           0.0029997
                  31,            0.075928,            0.021589,            0.069548,          0.00012119,             0.12101,          0.00015257,          2.7835e-05,            0.081787,           0.0077124,            0.069351,              0.0721,           0.0030997,           0.0030997
                  32,            0.077482,            0.022017,            0.069419,           2.963e-06,           0.0039216,           1.617e-06,           1.617e-07,            0.098377,           0.0070056,            0.069351,              0.0712,           0.0031997,           0.0031997
                  33,            0.074329,            0.023566,             0.06912,          3.5106e-05,            0.038807,          2.7516e-05,          5.4798e-06,            0.089453,            0.007793,            0.069317,              0.0703,           0.0032996,           0.0032996
                  34,            0.072527,            0.021642,            0.069227,                   0,                   0,                   0,                   0,            0.096854,           0.0077197,            0.069317,              0.0694,           0.0033996,           0.0033996
                  35,            0.072701,             0.02393,            0.069036,          0.00010671,              0.1049,          0.00013709,           2.234e-05,             0.08321,           0.0086353,            0.069248,              0.0685,           0.0034996,           0.0034996
                  36,            0.074688,            0.022701,            0.069156,                   0,                   0,                   0,                   0,            0.099913,             0.00802,            0.069248,              0.0676,           0.0035995,           0.0035995
                  37,            0.072567,            0.022949,            0.069136,          9.9376e-05,            0.091503,          0.00012275,          2.1902e-05,            0.080155,           0.0093091,             0.06918,              0.0667,           0.0036995,           0.0036995
                  38,            0.077165,            0.022391,            0.069068,          4.1152e-06,           0.0074074,          3.0397e-06,          8.1042e-07,             0.10473,           0.0082251,             0.06918,            0.065799,           0.0037995,           0.0037995
                  39,            0.075956,            0.022268,            0.069011,          0.00014949,              0.1378,          0.00018368,          3.0751e-05,            0.080626,           0.0095874,            0.069214,            0.064899,           0.0038994,           0.0038994
                  40,            0.073616,            0.023696,            0.068956,          7.0782e-06,            0.011111,           4.261e-06,           1.048e-06,             0.10363,           0.0085474,            0.069111,            0.063999,           0.0039994,           0.0039994
                  41,            0.075401,            0.022806,            0.069019,          0.00019337,             0.10838,          0.00014498,          2.2127e-05,            0.081732,           0.0097119,            0.069111,            0.063099,           0.0040993,           0.0040993
                  42,            0.072639,            0.023183,            0.068963,          4.1152e-06,           0.0074074,          2.5474e-06,          7.2953e-07,             0.10506,            0.008606,            0.069077,            0.062199,           0.0041993,           0.0041993
                  43,            0.075611,            0.022541,            0.068974,          0.00011111,             0.10375,          0.00011604,          1.9231e-05,            0.082815,           0.0097412,            0.069077,            0.061299,           0.0042992,           0.0042992
                  44,             0.07069,            0.023284,            0.069045,          4.1152e-06,           0.0074074,          2.7337e-06,          7.8524e-07,             0.10241,           0.0087158,            0.069077,            0.060399,           0.0043992,           0.0043992
                  45,             0.07316,              0.0233,            0.068679,          0.00018456,             0.16632,          0.00023822,          3.9455e-05,            0.078762,           0.0099243,            0.069008,            0.059499,           0.0044991,           0.0044991
                  46,            0.074601,            0.023251,            0.068931,          4.2028e-06,           0.0074074,          3.5397e-06,          9.6552e-07,             0.10084,           0.0087671,            0.069042,            0.058599,            0.004599,            0.004599
                  47,            0.072301,            0.023378,            0.068905,          0.00016962,             0.15054,          0.00025641,          4.1378e-05,            0.078587,           0.0098437,            0.069008,            0.057699,            0.004699,            0.004699
                  48,            0.073667,            0.023544,             0.06902,          1.1311e-05,            0.018519,          7.2802e-06,          1.9257e-06,             0.10025,           0.0087598,            0.069008,            0.056799,           0.0047989,           0.0047989
                  49,            0.072113,            0.023083,            0.068637,          0.00018274,             0.15499,          0.00024617,          4.2342e-05,            0.079768,           0.0097266,            0.069008,            0.055899,           0.0048989,           0.0048989
                  50,            0.072278,            0.024194,            0.068705,          8.6836e-06,            0.014815,          5.4842e-06,          1.2908e-06,             0.10104,           0.0086279,            0.069008,            0.054999,           0.0049988,           0.0049988
                  51,            0.071725,            0.022671,            0.068674,          0.00012813,             0.11878,          0.00019741,          3.5395e-05,            0.080624,           0.0096021,            0.069008,            0.054099,           0.0050987,           0.0050987
                  52,            0.070879,            0.023629,            0.068575,          1.7151e-05,            0.018736,          1.1064e-05,          1.8582e-06,             0.10033,           0.0085693,            0.068974,            0.053199,           0.0051986,           0.0051986
                  53,            0.071145,            0.023318,            0.068735,          0.00017024,             0.15817,          0.00035796,          6.0866e-05,            0.078931,            0.009624,            0.068974,            0.052299,           0.0052985,           0.0052985
                  54,             0.07127,            0.022964,            0.068682,          3.9873e-05,             0.03451,          2.6871e-05,          4.2002e-06,            0.095844,           0.0087671,            0.069008,            0.051398,           0.0053985,           0.0053985
                  55,            0.067815,            0.023914,            0.068839,          0.00016953,             0.15298,          0.00033896,          5.4625e-05,            0.077587,           0.0096826,            0.068974,            0.050498,           0.0054984,           0.0054984
                  56,            0.071059,            0.023299,             0.06858,          2.3117e-05,             0.02244,          1.5858e-05,          2.4805e-06,            0.097091,           0.0086719,            0.069008,            0.049598,           0.0055983,           0.0055983
                  57,            0.069157,             0.02465,            0.068915,          0.00012747,             0.12248,           0.0002498,          4.0886e-05,            0.081259,           0.0094775,            0.068974,            0.048698,           0.0056982,           0.0056982
                  58,            0.069704,            0.023593,            0.068772,          1.5283e-05,            0.025926,          1.0746e-05,          2.6336e-06,            0.097169,           0.0086719,            0.068939,            0.047798,           0.0057981,           0.0057981
                  59,            0.068507,            0.024094,            0.068719,          0.00018278,              0.1498,          0.00035667,          5.5519e-05,            0.080753,           0.0095068,            0.068974,            0.046898,            0.005898,            0.005898
                  60,             0.06807,             0.02404,            0.068772,          4.9623e-05,            0.038214,          3.3115e-05,          5.0868e-06,            0.094484,            0.008811,            0.068974,            0.045998,           0.0059979,           0.0059979
                  61,            0.068361,            0.024258,            0.068767,          0.00012304,             0.11486,          0.00028761,          4.0903e-05,            0.081344,           0.0095508,            0.068974,            0.045098,           0.0060978,           0.0060978
