               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10181,            0.025148,            0.073665,                   0,                   0,                   0,                   0,            0.069117,           0.0089941,            0.070999,                 0.1,                   0,                   0
                   1,             0.10318,            0.022568,            0.073169,                   0,                   0,                   0,                   0,            0.069135,           0.0089868,             0.07093,              0.0991,              0.0001,              0.0001
                   2,             0.10048,            0.023325,            0.073977,                   0,                   0,                   0,                   0,            0.072993,             0.00854,             0.07093,              0.0982,              0.0002,              0.0002
                   3,            0.092223,            0.028663,            0.073525,                   0,                   0,                   0,                   0,            0.084546,           0.0072327,             0.07093,              0.0973,              0.0003,              0.0003
                   4,            0.088092,            0.029747,            0.072753,                   0,                   0,                   0,                   0,            0.094319,           0.0061157,             0.07093,              0.0964,              0.0004,              0.0004
                   5,            0.088244,            0.032651,            0.073335,                   0,                   0,                   0,                   0,             0.10082,            0.005354,            0.070862,              0.0955,              0.0005,              0.0005
                   6,            0.088936,            0.029068,            0.073174,                   0,                   0,                   0,                   0,            0.098733,           0.0055334,            0.070862,              0.0946,              0.0006,              0.0006
                   7,            0.089862,            0.029269,             0.07247,                   0,                   0,                   0,                   0,             0.09505,           0.0058777,            0.070793,              0.0937,              0.0007,              0.0007
                   8,             0.08565,             0.03224,            0.071992,                   0,                   0,                   0,                   0,            0.092387,           0.0062512,            0.070793,              0.0928,          0.00079999,          0.00079999
                   9,            0.086718,            0.028376,            0.072273,                   0,                   0,                   0,                   0,            0.090289,           0.0064087,            0.070724,              0.0919,          0.00089999,          0.00089999
                  10,            0.085308,            0.030118,             0.07178,                   0,                   0,                   0,                   0,            0.089951,            0.006676,            0.070656,               0.091,          0.00099999,          0.00099999
                  11,            0.086186,            0.028348,            0.072794,                   0,                   0,                   0,                   0,            0.088377,           0.0067566,            0.070656,              0.0901,              0.0011,              0.0011
                  12,            0.082337,            0.028072,            0.071782,                   0,                   0,                   0,                   0,            0.084739,           0.0070349,            0.070587,              0.0892,              0.0012,              0.0012
                  13,            0.084618,            0.030224,            0.071786,                   0,                   0,                   0,                   0,            0.088422,           0.0065662,            0.070518,              0.0883,              0.0013,              0.0013
                  14,            0.082813,            0.030168,            0.071553,                   0,                   0,                   0,                   0,            0.090851,           0.0062183,            0.070518,              0.0874,              0.0014,              0.0014
                  15,             0.08292,            0.028665,            0.072322,                   0,                   0,                   0,                   0,            0.091029,           0.0060754,             0.07045,              0.0865,              0.0015,              0.0015
                  16,            0.082329,            0.028938,            0.071683,                   0,                   0,                   0,                   0,            0.092493,           0.0058118,            0.070312,              0.0856,              0.0016,              0.0016
                  17,            0.082021,            0.029138,            0.071721,                   0,                   0,                   0,                   0,            0.088397,           0.0060498,            0.070312,              0.0847,              0.0017,              0.0017
                  18,             0.08312,            0.027867,            0.071145,                   0,                   0,                   0,                   0,            0.090262,           0.0057385,            0.070244,              0.0838,           0.0017999,           0.0017999
                  19,             0.08187,            0.028683,              0.0717,                   0,                   0,                   0,                   0,            0.094176,           0.0055664,            0.070107,              0.0829,           0.0018999,           0.0018999
                  20,            0.082536,            0.026975,            0.071478,                   0,                   0,                   0,                   0,            0.091647,           0.0057935,            0.070107,               0.082,           0.0019999,           0.0019999
                  21,            0.082156,            0.025638,             0.07127,                   0,                   0,                   0,                   0,            0.088055,           0.0059363,            0.070004,              0.0811,           0.0020999,           0.0020999
                  22,            0.081628,            0.026571,            0.070508,                   0,                   0,                   0,                   0,            0.090994,           0.0058594,            0.069969,              0.0802,           0.0021999,           0.0021999
                  23,            0.082233,            0.023779,            0.070436,                   0,                   0,                   0,                   0,            0.092283,           0.0057751,            0.069832,              0.0793,           0.0022999,           0.0022999
